teff,mbol,age,mass,radius,sptype
2971.666,11.92,2.5,0.116,0.1382456,M
2890.68,12.32,8.5,0.102,0.121520996,M
2511.8865,13.32,4.0,0.083,0.10154331,M
2741.5742,12.65,8.5,0.095,0.11605165,M
2930.8933,12.08,6.0,0.11,0.13202353,M
2964.8313,12.01,8.5,0.112,0.13324513,M
2831.392,12.38,2.5,0.101,0.12321152,M
2741.5742,12.65,6.0,0.095,0.11605165,M
2600.1597,13.09,8.5,0.085,0.10535407,M
2971.666,11.95,6.0,0.114,0.1363488,M
2910.717,12.2,8.5,0.106,0.12666345,M
2760.578,12.6,4.0,0.096,0.11712546,M
2600.1597,13.09,4.0,0.085,0.10535407,M
2937.6497,12.09,8.5,0.109,0.13081312,M
2703.9583,12.78,6.0,0.092,0.112370245,M
2851.0183,12.36,6.0,0.102,0.122645415,M
2999.1626,11.84,4.0,0.119,0.14081578,M
2958.0125,11.98,4.0,0.113,0.13572234,M
2760.578,12.6,4.0,0.096,0.11712546,M
2985.3826,11.89,4.0,0.117,0.13888371,M
2992.2646,11.91,8.5,0.115,0.13697815,M
2779.7134,12.57,6.0,0.097,0.11712546,M
2897.3435,12.24,8.5,0.104,0.1255022,M
2792.544,12.54,8.5,0.097,0.11766609,M
2703.9583,12.79,8.5,0.092,0.11185395,M
2779.7134,12.56,4.0,0.097,0.11766609,M
2944.4216,12.01,2.5,0.112,0.13509874,M
2851.0183,12.36,6.0,0.102,0.122645415,M
2716.4392,12.74,6.0,0.093,0.11340999,M
2773.32,12.55,1.5,0.097,0.11875484,M
2666.8586,12.85,1.5,0.091,0.11185395,M
2511.8865,13.32,4.0,0.083,0.10154331,M
2654.6055,12.89,8.5,0.09,0.11082847,M
2779.7134,12.58,8.5,0.096,0.11658732,M
2636.3313,12.95,0.575,0.087,0.10930784,M
2890.68,12.16,0.575,0.105,0.13081312,M
2685.3445,12.74,0.575,0.091,0.11605165,M
2884.0315,12.42,8.5,0.099,0.11658732,M
